Tittle,Brand,Original_price,Discount,Current_price,Image_url,Description
Tropicana Slim Pemanis Rendah Kalori Klasik 50 x 2.5 g,"Tropicana slim
          ",Rp 52.500,None,Rp 52.500,"['https://c.alfagift.id/product/1/1_A09170005963_20240426174627022_base.jpg', 'https://c.alfagift.id/product/1/1_A09170005963_20241031105810270_base.jpg', 'https://c.alfagift.id/product/1/1_A09170005963_20241031105820754_base.jpg', 'https://c.alfagift.id/product/1/1_A09170005963_20241031105827650_base.jpg']","['Pemanis rendah kalori', 'Varian classic', 'Menjaga kadar gula dalam darah tetap normal', 'Bebas gula pasir', 'Aman untuk diabetes dan cocok untuk diet', 'Tersedia dalam kemasan box isi 50 pcs @ 2,5 g']"
Tropicana Slim Pemanis Nol Kalori Diabtx 100 x 2 g,"Tropicana slim
          ",Rp 92.900,None,Rp 92.900,"['https://c.alfagift.id/product/1/1_A09170003288_20240426165600337_base.jpg', 'https://c.alfagift.id/product/1/1_A09170003288_20241031105751246_base.jpg', 'https://c.alfagift.id/product/1/1_A09170003288_20241031105757882_base.jpg', 'https://c.alfagift.id/product/1/1_A09170003288_20241031105805886_base.jpg']","['Pemanis nol kalori', 'Varian DIABTX', 'Menjaga kadar gula dalam darah tetap normal', 'Bebas gula pasir', 'Aman untuk penderita diabetes dan cocok untuk diet', 'Tersedia dalam kemasan box isi 100 pcs @ 2 g']"
Tropicana Slim Pemanis Nol Kalori Diabtx 50 x 2 g,"Tropicana slim
          ",Rp 52.900,None,Rp 52.900,"['https://c.alfagift.id/product/1/1_A09170006054_20240502110949685_base.jpg', 'https://c.alfagift.id/product/1/1_A09170006054_20241031105733678_base.jpg', 'https://c.alfagift.id/product/1/1_A09170006054_20241031105738975_base.jpg', 'https://c.alfagift.id/product/1/1_A09170006054_20241031105746472_base.jpg']","['Pemanis nol kalori bebas gula pasir', 'Varian DIABTX', 'Menjaga kadar gula dalam darah tetap normal', 'Aman untuk penderita diabetes dan cocok untuk diet', 'Tersedia dalam kemasan box isi 50 pcs @ 2 g']"
ABC Sambal Ekstra Pedas Botol 335 ml,"Abc
          ",Rp 19.800,25%,Rp 14.900,"['https://c.alfagift.id/product/1/1_A09600004624_20240506110024572_base.jpg', 'https://c.alfagift.id/product/1/1_A09600004624_20241031144257918_base.jpg', 'https://c.alfagift.id/product/1/1_A09600004624_20241031144301349_base.jpg', 'https://c.alfagift.id/product/1/1_A09600004624_20241031144306245_base.jpg']","['Sambal ABC dari cabe segar pilihan', 'Dengan rasa dan aroma sesegar cabe segar', 'Kemasan botol beling praktis isi 335 ml']"
ABC Kecap Manis Refill 685 g,"Abc
          ",Rp 25.000,32%,Rp 16.900,"['https://c.alfagift.id/product/1/1_A09600005751_20240506111723870_base.jpg', 'https://c.alfagift.id/product/1/1_A09600005751_20241031144825292_base.jpg', 'https://c.alfagift.id/product/1/1_A09600005751_20241031144831546_base.jpg', 'https://c.alfagift.id/product/1/1_A09600005751_20241031144846427_base.jpg']","['Kecap ABC dengan rasa manis yang lezat', 'Dari gula aren dan kacang kedelai pilihan', 'Dengan tekstur kental dan kaya rasa', 'Dalam kemasan pouch auto-lock']"
ABC Kecap Manis 825 g,"Abc
          ",Rp 30.000,8%,Rp 27.500,"['https://c.alfagift.id/product/1/1_A7367590001139_20241031144949717_base.jpg', 'https://c.alfagift.id/product/1/1_A7367590001139_20241031144934003_base.jpg', 'https://c.alfagift.id/product/1/1_A7367590001139_20241031144940434_base.jpg']","['Kecap manis ABC dengan rasa yang lezat', 'Dari gula aren dan kacang kedelai pilihan', 'Dengan tekstur kental dan kaya rasa', 'Dalam kemasan pouch praktis']"
Tropicana Slim Beras Merah Organik 1 kg,"Tropicana slim
          ",Rp 45.000,18%,Rp 36.900,"['https://c.alfagift.id/product/1/1_A8131610002167_20240520135755179_base.jpg', 'https://c.alfagift.id/product/1/1_A8131610002167_20240520135801364_base.jpg']","['Tropicana Slim Beras Merah 1 kg', 'Nikmat dan pulen', 'Diproses dengan higienis', 'Dengan serat lebih tinggi', 'Cocok untuk diabetes dan diet']"
ABC Sambal Asli Botol 335 ml,"Abc
          ",Rp 19.800,25%,Rp 14.900,"['https://c.alfagift.id/product/1/1_A09600004586_20240506103603880_base.jpg', 'https://c.alfagift.id/product/1/1_A09600004586_20240910152442648_base.jpg', 'https://c.alfagift.id/product/1/1_A09600004586_20240910152449724_base.jpg', 'https://c.alfagift.id/product/1/1_A09600004586_20240910152454521_base.jpg']","['Sambal asli dari cabai pilihan dan bawang putih berkualitas.', 'Diracik dengan rasa pedas yang khas Indonesia', 'Hadir dalam kemasan botol beling isi 335 ml']"
ABC Kecap Manis Botol 275 ml,"Abc
          ",Rp 21.500,26%,Rp 15.900,"['https://c.alfagift.id/product/1/1_A09600002183_20240502114207067_base.jpg', 'https://c.alfagift.id/product/1/1_A09600002183_20241031143852259_base.jpg', 'https://c.alfagift.id/product/1/1_A09600002183_20241031143855405_base.jpg', 'https://c.alfagift.id/product/1/1_A09600002183_20241031143900314_base.jpg']","['Kecap manis ABC dengan rasa yang lezat', 'Dari gula aren dan kacang kedelai pilihan', 'Dengan tekstur kental dan kaya rasa', 'Dalam kemasan botol praktis isi 275 ml']"
ABC Sambal Ekstra Pedas Botol 130 ml,"Abc
          ",Rp 9.000,None,Rp 9.000,"['https://c.alfagift.id/product/1/1_A09600004625_20240506105820321_base.jpg', 'https://c.alfagift.id/product/1/1_A09600004625_20241031144242602_base.jpg', 'https://c.alfagift.id/product/1/1_A09600004625_20241031144245586_base.jpg', 'https://c.alfagift.id/product/1/1_A09600004625_20241031144250300_base.jpg']","['Sambal ABC dari cabe segar pilihan', 'Dengan rasa dan aroma sesegar cabe segar', 'Kemasan botol plastik praktis isi 130 ml']"
