Title,Normal_price,Current_price,Sku,Code,Weight,Category,Brand,Sub_category,Img_url,Processor,Motherboard,Ssd,Ram,Vga,Psu,Fan_casing,Cpu_cooler,Network,Casing,Keyboard_mouse,Mousepad,Software
EK Office Fizzword Red-X V2,2.845.000,Rp2.790.000,186267,EK MY91C23,10 Kg,PC Ready,EK Office,EK Office Series,['https://images.tokopedia.net/img/cache/900/VqbcmM/2024/9/30/4f262026-8943-4e58-a1e4-8c65cca2ff2f.jpg'],AMD Ryzen 3 3200G 3.6Ghz Up To 4.0Ghz Cache 4MB 65W AM4 [Box] - 4 Core - YD3200C5FHBOX - with AMD Wraith Stealth Cooler (Garansi Lokal/AMD Indonesia),"MAXSUN Challenger A520M-K (AM4, A520, DDR4, USB 3.2, SATA3)",CUBE GAMING Phoenix SSD 256GB M.2 NVME PCIe Gen3x4,Windows 11 Home 64Bit (*Unactivated*) & Office Home Student 2021 (*Unactivated*),Integrated GPU,None,None,None,None,CUBE GAMING PARK with PSU (Support m-ATX Size),Logitech Classic MK120 USB (K120 + B100),Fantech Vigil MP256 Mousepad (250x210x2mm),Windows 11 Home 64Bit (*Unactivated*) & Office Home Student 2021 (*Unactivated*)
EK Office Fizzword Blue-X,3.600.000,Rp3.550.000,188026,EK 3RES224,12 Kg,PC Ready,EK Office,EK Office Series,['https://images.tokopedia.net/img/cache/900/VqbcmM/2024/10/8/a40b47cc-20c3-492b-8a98-3226c46576c1.jpg'],Intel Core i3-10105 3.7Ghz Up To 4.4Ghz - Cache 6MB [Box] Socket LGA 1200 - Comet Lake Refresh Series,"MAXSUN Challenger H510M-R (LGA1200, H510, DDR4, USB3.2, SATA3)",ADATA LEGEND 710 256GB M.2 NVME R 2100MB/S W 1000MB/S,Windows 11 Home 64Bit (*Unactivated*) & Office Home Student 2021 (*Unactivated*),Integrated GPU,None,None,None,None,CUBE GAMING PARK with PSU (Support m-ATX Size),Logitech Classic MK120 USB (K120 + B100),Fantech Vigil MP256 Mousepad (250x210x2mm),Windows 11 Home 64Bit (*Unactivated*) & Office Home Student 2021 (*Unactivated*)
EK Office Fizzword PRO Red V2,3.610.000,Rp3.550.000,191290,EK H73TE24,12 Kg,PC Ready,EK Office,EK Office Series,['https://images.tokopedia.net/img/cache/900/VqbcmM/2024/10/9/43c255ec-bbbf-4e68-a952-eb4c37dd9920.jpg'],AMD Ryzen 5 4600G 3.7Ghz Up To 4.2Ghz Cache 8MB 65W AM4 [Tray] - 6 Core - NEW UNIT - 1 Years Warranty Replacement,"MAXSUN Challenger A520M-K (AM4, A520, DDR4, USB 3.2, SATA3)",CUBE GAMING Phoenix SSD 256GB M.2 NVME PCIe Gen3x4,Windows 11 Home 64Bit (*Unactivated*) & Office Home Student 2021 (*Unactivated*),Integrated GPU,None,None,CUBE GAMING WIND V2 - 2 Copper Heat Pipes - Mirror RGB TOP Cover - Gaming CPU Cooler Rainbow Led - Universal Socket (AM5 Ready),TP - Link 150 Mbps Wireless N USB Adapter + Antenna - TL-WN722N,CUBE GAMING PARK with PSU (Support m-ATX Size),Logitech Classic MK120 USB (K120 + B100),Fantech Vigil MP256 Mousepad (250x210x2mm),Windows 11 Home 64Bit (*Unactivated*) & Office Home Student 2021 (*Unactivated*)
EK Office Fizzword Blue-XII V2,3.729.000,Rp3.650.000,189328,EK JPQJW24,12 Kg,PC Ready,EK Office,EK Office Series,['https://images.tokopedia.net/img/cache/900/VqbcmM/2024/10/11/a686e5c5-0c24-42b4-aec9-dffcd6e066df.jpg'],Intel Core i3-12100 3.3GHz Up To 4.3GHz - Cache 12MB [Tray] Socket LGA 1700 - Alder Lake Series - NEW UNIT - 1 Years Warranty,"MAXSUN Challenger H610M-D (LGA1700, H610, DDR4, USB3.2, SATA3)",KLEVV SSD CRAS C710 256GB M.2 2280 NVMe PCle Gen3 x4 - K256GM2SP0-C71 - R1950MB/s W1250MB/s,Windows 11 Home 64Bit (*Unactivated*) & Office Home Student 2021 (*Unactivated*),Integrated GPU,None,None,CUBE GAMING WIND V2 - 2 Copper Heat Pipes - Mirror RGB TOP Cover - Gaming CPU Cooler Rainbow Led - Universal Socket (AM5 Ready),None,CUBE GAMING PARK with PSU (Support m-ATX Size),Logitech Classic MK120 USB (K120 + B100),Fantech Vigil MP256 Mousepad (250x210x2mm),Windows 11 Home 64Bit (*Unactivated*) & Office Home Student 2021 (*Unactivated*)
EK Office Fizzword PRO Blue-XII,4.440.000,Rp4.350.000,189429,EK 5KYYP24,16 Kg,PC Ready,EK Office,EK Office Series,['https://images.tokopedia.net/img/cache/900/VqbcmM/2024/10/8/a59edca4-ff23-4535-a222-84f084002b67.jpg'],Intel Core i5-12400 2.5GHz Up To 4.4GHz - Cache 18MB [Tray] Socket LGA 1700 - Alder Lake Series - NEW UNIT - 1 Years Warranty,"MAXSUN Challenger H610M-D (LGA1700, H610, DDR4, USB3.2, SATA3)",CUBE GAMING Phoenix SSD 256GB M.2 NVME PCIe Gen3x4,Windows 11 Home 64Bit (*Unactivated*) & Office Home Student 2021 (*Unactivated*),Integrated GPU,None,None,CUBE GAMING WIND V2 - 2 Copper Heat Pipes - Mirror RGB TOP Cover - Gaming CPU Cooler Rainbow Led - Universal Socket (AM5 Ready),TP - Link 150 Mbps Wireless N USB Adapter + Antenna - TL-WN722N,CUBE GAMING PARK with PSU (Support m-ATX Size),Logitech Classic MK120 USB (K120 + B100),Fantech Vigil MP256 Mousepad (250x210x2mm),Windows 11 Home 64Bit (*Unactivated*) & Office Home Student 2021 (*Unactivated*)
EK Gaming BattleStealth SUN,5.155.000,Rp5.090.000,186520,EK D32XK23,16 Kg,PC Ready,EK Gaming,EK Gaming BattleStealth Series,['https://images.tokopedia.net/img/cache/900/VqbcmM/2024/10/9/da30d753-5d81-40fb-a7ff-d0b04a476443.jpg'],AMD Ryzen 5 5600G 3.9Ghz Up To 4.4Ghz Cache 16MB 65W AM4 [Tray] - 6 Core - NEW UNIT - 1 Years Warranty Replacement,"MAXSUN Terminator B550M (AM4, AMD B550, DDR4, USB3.2, SATA3)",KLEVV SSD CRAS C710 512GB M.2 2280 NVMe PCle Gen3 x4 - K512GM2SP0-C71 - R2050MB/s W1650MB/s,Windows 11 Home 64Bit (*Unactivated*) & Office Home Student 2021 (*Unactivated*),Integrated GPU,1STPLAYER ACK Series 550W HA-550AC1 80+ Certified with Embossed Cable - Active PFC - 140MM Hydraulic Bearing - Premium Quality Capacitors - 5 Years Warranty,Paradox Hypersonic F-400 Black V2 12CM Rainbow Fan,CUBE GAMING WIND V2 - 2 Copper Heat Pipes - Mirror RGB TOP Cover - Gaming CPU Cooler Rainbow Led - Universal Socket (AM5 Ready),TP - Link 150 Mbps Wireless N USB Adapter + Antenna - TL-WN722N,CUBE GAMING SANG BLACK - mATX Gaming Case - Front & Left Side Tempered Glass - Dust Filter - PSU Cover,None,None,Windows 11 Home 64Bit (*Unactivated*) & Office Home Student 2021 (*Unactivated*)
EK Gaming BattleConceptor 580,6.445.000,Rp6.350.000,191373,EK QJQ1C24,18 Kg,PC Ready,EK Gaming,EK Gaming BattleConceptor Series,['https://images.tokopedia.net/img/cache/900/VqbcmM/2024/10/1/ced1e26c-e5f4-40e1-ae25-406e7c3aa592.jpg'],AMD Ryzen 5 5500 3.6Ghz Up To 4.2Ghz Cache 16MB 65W AM4 [Box] - 6 Core - 100-100000457BOX - with Wraith Stealth Cooler (Garansi Lokal/AMD Indonesia),"MAXSUN Terminator B550M (AM4, AMD B550, DDR4, USB3.2, SATA3)",KLEVV SSD CRAS C710 512GB M.2 2280 NVMe PCle Gen3 x4 - K512GM2SP0-C71 - R2050MB/s W1650MB/s,Windows 11 Home 64Bit (*Unactivated*) & Office Home Student 2021 (*Unactivated*),Arktek Radeon RX 580 8GB GDDR5 Cyclops - Garansi 3 Thn,1STPLAYER ACK Series 550W HA-550AC1 80+ Certified with Embossed Cable - Active PFC - 140MM Hydraulic Bearing - Premium Quality Capacitors - 5 Years Warranty,Paradox Hypersonic F-400 Black V2 12CM Rainbow Fan,None,TP - Link 150 Mbps Wireless N USB Adapter + Antenna - TL-WN722N,CUBE GAMING SHAFEL Lite S BLACK - mATX Gaming Case - Front & Left Side Tempered Glass - Mini Dual Chamber Design - Airflow Potential - Dust Filter,None,None,Windows 11 Home 64Bit (*Unactivated*) & Office Home Student 2021 (*Unactivated*)
EK Gaming BattleFragment 580,6.815.000,Rp6.690.000,191323,EK F3TUW24,18 Kg,PC Ready,EK Gaming,EK Gaming BattleFragment Series,['https://images.tokopedia.net/img/cache/900/VqbcmM/2024/9/24/de3a013d-76e8-4993-acf3-b00f53eb133c.jpg'],Intel Core i5-10400F 2.9Ghz Up To 4.3Ghz - Cache 12MB [Box] Socket LGA 1200 - Comet Lake Series,"ASRock B560M-HDV/M.2 (LGA1200, B560, DDR4, USB3.2, SATA3)",KLEVV SSD CRAS C710 512GB M.2 2280 NVMe PCle Gen3 x4 - K512GM2SP0-C71 - R2050MB/s W1650MB/s,Windows 11 Home 64Bit (*Unactivated*) & Office Home Student 2021 (*Unactivated*),Arktek Radeon RX 580 8GB GDDR5 Cyclops - Garansi 3 Thn,1STPLAYER ACK Series 550W HA-550AC1 80+ Certified with Embossed Cable - Active PFC - 140MM Hydraulic Bearing - Premium Quality Capacitors - 5 Years Warranty,Paradox Hypersonic F-400 Black V2 12CM Rainbow Fan,Antec A400i Neon Lighting Air Cooler - 4 Direct-Touched Copper Heat Pipes - All Intel & AMD Socket,TP - Link 150 Mbps Wireless N USB Adapter + Antenna - TL-WN722N,CUBE GAMING SANG BLACK - mATX Gaming Case - Front & Left Side Tempered Glass - Dust Filter - PSU Cover,None,None,Windows 11 Home 64Bit (*Unactivated*) & Office Home Student 2021 (*Unactivated*)
EK Gaming BattleConceptor NV,6.960.000,Rp6.850.000,187940,EK 2RTQ224,16 Kg,PC Ready,EK Gaming,EK Gaming BattleConceptor Series,['https://images.tokopedia.net/img/cache/900/VqbcmM/2024/10/15/99d49836-2cc4-416e-bc5f-7f513c558b8f.jpg'],AMD Ryzen 5 5500 3.6Ghz Up To 4.2Ghz Cache 16MB 65W AM4 [Box] - 6 Core - 100-100000457BOX - with Wraith Stealth Cooler (Garansi Lokal/AMD Indonesia),"MAXSUN Terminator B550M (AM4, AMD B550, DDR4, USB3.2, SATA3)",KLEVV SSD CRAS C710 512GB M.2 2280 NVMe PCle Gen3 x4 - K512GM2SP0-C71 - R2050MB/s W1650MB/s,Windows 11 Home 64Bit (*Unactivated*) & Office Home Student 2021 (*Unactivated*),Inno3D GeForce GTX 1650 4GB GDDR6 TWIN X2 OC V3 - DUAL FAN - Garansi 3 Thn,1STPLAYER ACK Series 550W HA-550AC1 80+ Certified with Embossed Cable - Active PFC - 140MM Hydraulic Bearing - Premium Quality Capacitors - 5 Years Warranty,Paradox Hypersonic F-400 Black V2 12CM Rainbow Fan,None,TP - Link 150 Mbps Wireless N USB Adapter + Antenna - TL-WN722N,Antec NX200M - mATX Gaming Case - Left Side Glass Door - FREE 1 PCS 12CM FAN,None,None,Windows 11 Home 64Bit (*Unactivated*) & Office Home Student 2021 (*Unactivated*)
EK Gaming BattleConceptor 165 WHITE,7.130.000,Rp6.990.000,191610,EK 0S2DD24,18 Kg,PC Ready,EK Gaming,EK Gaming BattleConceptor Series,['https://images.tokopedia.net/img/cache/900/VqbcmM/2024/10/14/f4995614-0aaf-44dc-8380-af8473911a92.jpg'],AMD Ryzen 5 5500 3.6Ghz Up To 4.2Ghz Cache 16MB 65W AM4 [Box] - 6 Core - 100-100000457BOX - with Wraith Stealth Cooler (Garansi Lokal/AMD Indonesia),"ASRock B550M Pro SE (AM4, AMD PRO565, DDR4, USB3.2, SATA3)",KLEVV SSD CRAS C710 512GB M.2 2280 NVMe PCle Gen3 x4 - K512GM2SP0-C71 - R2050MB/s W1650MB/s,Windows 11 Home 64Bit (*Unactivated*) & Office Home Student 2021 (*Unactivated*),GALAX Geforce GTX 1650 4GB GDDR6 EX PLUS (1-Click OC) - DUAL FAN - Garansi 3 Thn,1STPLAYER ACK Series 550W HA-550AC1 80+ Certified with Embossed Cable - Active PFC - 140MM Hydraulic Bearing - Premium Quality Capacitors - 5 Years Warranty,Paradox Hypersonic F-400 White V2 12CM Rainbow Fan,None,TP - Link 150 Mbps Wireless N USB Adapter + Antenna - TL-WN722N,CUBE GAMING SANG WHITE - mATX Gaming Case - All White Inside - Front & Left Side Tempered Glass - Dust Filter - PSU Cover,None,None,Windows 11 Home 64Bit (*Unactivated*) & Office Home Student 2021 (*Unactivated*)
