Rank,Name,Industry,Revenue(USD millions),Profits(USD millions),Employees,Headquarters
1,Pertamina,Oil and Gas,"75,788","4,441","40,415",Jakarta
2,Perusahaan Listrik Negara,Utilities,"32,013","1,446","51,245",Jakarta
3,Bank Rakyat Indonesia,Banking,"14,917","3,948","77,739",Jakarta
4,Bank Mandiri,Banking,"11,515","3,616","36,872",Jakarta
5,Telkom Indonesia,Banking,"9,801","1,613","23,064",Jakarta
6,Gudang Garam,Tabacco,"7,813",350,"25,961",Kediri
7,Bank Central Asia,Banking,"7,371","3,195","25,486",Jakarta
8,Indofood,Food,"7,337",535,"81,367",Jakarta
9,Inalum,Aluminium,"7,088","1,599","10,422",Batubara
10,Alfamart,Retail,"7,025",224,"195,757",Tangerang
11,Adaro Energy,Coal mining,"6,518","1,641","14,697",Tabalong
12,Bank Negara Indonesia,Banking,"5,448","1,373","27,570",Jakarta
13,Pupuk Kalimantan Timur,Fertilizer,"5,207",407,"7,441",Bontang
14,Dian Swastatika Sentosa,Mining,"5,015",462,"2,368",Jakarta
15,PT Erajaya Swasembada,Retail,"3,950",54,"5,675",Jakarta
16,Bayan Resources,Coal mining,"3,581","1,239","3,819",Jakarta
17,Indah Kiat Pulp & Paper,Pulp and paper,"3,479",412,"11,000",Jakarta
18,Indosat,Telecommunications,"3,365",296,"4,041",Jakarta
19,Indika Energy,Oil and gas equipment,"3,027",120,"3,189",Jakarta
20,Garuda Indonesia,Airline,"2,937",250,"4,401",Jakarta
